Date,Total number of confirmed cases
2/28/2020,83652
2/29/2020,85403
3/1/2020,87137
3/2/2020,88948
3/3/2020,90869
3/4/2020,93091
3/5/2020,95324
3/6/2020,98192
3/7/2020,101927
3/8/2020,105586
3/9/2020,109577
3/10/2020,113702
3/11/2020,118319
3/12/2020,125260
3/13/2020,132758
3/14/2020,142534
3/15/2020,153517
3/16/2020,167515
3/17/2020,179111
3/18/2020,191127
3/19/2020,209839
3/20/2020,234073
